qwen_dss1_pos,qwen_dss1_neg,qwen_dss2_pos,qwen_dss2_neg,qwen_gss1_pos,qwen_gss1_neg,qwen_gss2_pos,qwen_gss2_neg
a1.h3->m14,a8.h4->m13,m9->a14.h0<k>,a1.h6->a2.h4<v>,a1.h2->a2.h10<q>,m3->a4.h5<q>,m5->a8.h1<k>,a10.h7->a23.h0<v>
a7.h6->m20,m9->a11.h0<v>,a13.h11->m19,a1.h6->a2.h5<q>,a6.h3->a10.h6<q>,a6.h8->m8,a2.h11->m4,m14->a17.h0<v>
a9.h1->m12,a2.h5->m3,a7.h1->m14,a1.h6->a2.h5<k>,m20->a23.h0<k>,a17.h13->m17,m6->a11.h0<v>,a14.h0->m17
m2->a3.h0<q>,m3->a9.h1<k>,a1.h7->m10,a1.h6->a2.h5<v>,a19.h8->m21,a6.h3->a13.h0<v>,a16.h8->m16,m7->a11.h0<q>
a17.h13->m17,m3->a15.h0<v>,a8.h13->m17,a1.h6->a2.h6<q>,a10.h4->m22,a3.h10->m8,a4.h8->a6.h0<v>,a1.h9->m15
a2.h0->m11,m21->a23.h0<v>,a4.h8->m16,a1.h6->a2.h6<k>,a13.h12->m15,m13->a21.h7<q>,m0->a22.h1<v>,a7.h6->m18
a2.h7->m8,a6.h13->m15,a1.h1->m1,a1.h6->a2.h6<v>,m0->a4.h0<q>,a8.h2->m13,a7.h9->m7,m6->a9.h5<q>
a16.h7->logits,m14->a17.h0<v>,a5.h9->m10,a1.h6->a2.h7<q>,a4.h7->m5,m10->a12.h1<v>,a1.h9->m11,a4.h1->m12
a17.h1->logits,a14.h10->m19,a1.h2->m5,a1.h6->a2.h7<k>,a6.h0->a10.h1<v>,a7.h4->a10.h1<v>,m1->a19.h12<q>,m19->a22.h1<v>
m1->m18,a5.h13->m17,m2->a10.h1<q>,a1.h6->a2.h7<v>,a18.h9->a23.h0<v>,a6.h13->m10,a20.h4->a23.h0<v>,a3.h1->m11
a6.h8->logits,m7->a8.h4<q>,a14.h6->m16,a1.h6->a2.h8<q>,m7->a10.h11<q>,a10.h8->m11,a2.h1->m5,m5->a8.h0<k>
a1.h4->m3,a10.h0->m10,m5->a6.h8<q>,a1.h6->a2.h8<k>,m0->a4.h7<q>,a5.h7->m13,a20.h1->logits,m4->a10.h11<q>
a5.h8->a8.h0<v>,a12.h4->m13,a5.h8->m14,a1.h6->a2.h8<v>,m7->a8.h1<v>,m6->a8.h12<q>,m9->a20.h0<k>,a6.h2->m13
a6.h3->a9.h4<q>,a2.h3->a3.h0<v>,m15->a16.h1<k>,a1.h6->a2.h9<q>,a8.h7->a12.h0<v>,a6.h9->a10.h1<v>,a2.h5->a3.h0<k>,m8->a22.h1<k>
a7.h13->logits,a6.h3->logits,m0->a6.h0<q>,a1.h6->a2.h9<k>,a4.h3->m21,m2->a3.h10<q>,a6.h2->m13,a10.h7->m21
m4->a8.h8<q>,a4.h1->a8.h0<v>,a6.h3->m19,a1.h6->a2.h9<v>,a6.h9->a10.h1<v>,m7->a12.h5<q>,m7->a13.h0<k>,m1->a7.h5<q>
a20.h4->a23.h0<v>,a6.h0->logits,m0->a5.h0<k>,a1.h6->a2.h10<q>,m13->a20.h0<v>,m1->a8.h1<k>,a8.h11->m8,m12->a14.h0<v>
a14.h6->m20,m6->a7.h4<q>,m1->a9.h9<q>,a1.h6->a2.h10<k>,m17->m22,m4->a14.h0<q>,m14->a19.h1<v>,a2.h0->m5
m3->a8.h1<v>,a10.h5->a14.h0<k>,a8.h2->m9,a1.h6->a2.h10<v>,m7->a13.h0<k>,a1.h0->m7,m7->a15.h4<q>,a7.h10->a16.h1<v>
m2->a10.h12<q>,a7.h3->m9,m0->a1.h12<q>,a1.h6->a2.h11<q>,a12.h5->a13.h1<v>,a1.h8->m6,a8.h9->a10.h1<v>,m1->a4.h1<q>
m0->a7.h6<q>,a1.h7->m3,a6.h0->a7.h1<v>,a1.h6->a2.h11<k>,a1.h8->m9,m7->a20.h3<q>,a1.h6->m3,m5->a7.h0<v>
m8->a16.h10<q>,a6.h3->a7.h11<q>,a8.h5->logits,a1.h6->a2.h11<v>,a1.h8->a10.h5<q>,a3.h8->m9,m15->a19.h0<v>,m16->a18.h2<q>
a3.h0->m14,a4.h1->a10.h1<v>,a6.h3->a11.h0<k>,a1.h6->a2.h12<q>,m5->a8.h12<q>,m14->a19.h9<q>,a7.h2->m23,m2->a5.h13<q>
a1.h1->m11,a4.h12->logits,a14.h6->m20,a1.h6->a2.h12<k>,a7.h10->m21,a17.h5->a20.h0<k>,a2.h0->m16,a7.h10->m21
m10->a13.h11<q>,a4.h13->m14,m7->a19.h0<v>,a1.h6->a2.h12<v>,a5.h8->a8.h1<k>,a1.h2->m1,m4->a11.h5<q>,a5.h4->m9
a6.h4->m12,a4.h12->m6,a1.h5->m6,a1.h6->a2.h13<q>,a4.h6->m16,a9.h5->m18,m4->a15.h0<v>,a5.h5->m22
m1->a4.h0<k>,m10->a12.h11<q>,a9.h9->m15,a1.h6->a2.h13<k>,a16.h8->m19,a7.h10->m21,a4.h6->m16,a9.h5->m10
m5->a13.h0<v>,a6.h1->a14.h0<v>,a6.h6->m11,a1.h6->a2.h13<v>,m4->a14.h0<q>,a5.h7->m5,a1.h13->m1,a8.h2->a10.h1<v>
a17.h2->m18,a4.h10->a23.h0<v>,a12.h6->m20,a1.h7->a2.h0<q>,m11->a15.h6<q>,m3->a4.h10<q>,a4.h5->m4,a1.h12->m7
m1->a3.h0<v>,a2.h6->a4.h4<q>,m12->a15.h1<v>,a1.h7->a2.h0<k>,input->a3.h0<k>,a8.h13->m8,a6.h9->m13,a5.h8->m14
a1.h8->m20,a6.h6->m8,a8.h9->a10.h1<v>,a1.h7->a2.h0<v>,m1->a10.h2<q>,m2->a14.h0<v>,m8->a21.h1<k>,m0->a4.h10<q>
m4->a5.h8<q>,a10.h6->m23,a6.h7->m13,a1.h7->a2.h1<q>,a7.h12->m9,a5.h8->a8.h1<k>,m4->a8.h9<q>,a7.h5->m13
a14.h6->m15,a4.h13->a7.h0<v>,m16->a17.h9<q>,a1.h7->a2.h1<k>,a9.h1->m11,a6.h7->a7.h0<v>,m7->a14.h0<k>,m3->a12.h5<q>
m11->a12.h8<q>,a14.h6->m17,a10.h0->m21,a1.h7->a2.h1<v>,a2.h4->m23,a6.h7->m12,m0->a2.h3<q>,a8.h12->a16.h1<v>
a18.h9->m23,a6.h2->m20,a5.h13->a12.h0<v>,a1.h7->a2.h2<q>,a1.h5->m22,a15.h13->m23,a3.h3->m8,a4.h11->m5
a6.h3->a8.h0<v>,a2.h1->m17,a6.h4->m10,a1.h7->a2.h2<k>,a4.h3->m14,a7.h7->logits,a5.h3->a6.h0<v>,a12.h1->m23
m7->a19.h0<v>,a2.h2->a3.h0<v>,m0->a12.h0<v>,a1.h7->a2.h2<v>,m1->a4.h7<q>,a19.h12->m22,m8->a12.h1<k>,m7->a11.h13<q>
a1.h2->a2.h0<v>,a0.h11->m1,a5.h7->m16,a1.h7->a2.h3<q>,m4->m13,a13.h11->m16,a5.h12->a6.h0<v>,m4->a10.h0<q>
a16.h10->m18,a1.h11->a7.h0<v>,m7->a17.h1<q>,a1.h7->a2.h3<k>,a1.h8->m15,a10.h13->m19,m2->a9.h1<q>,m0->a22.h1<k>
a6.h2->m8,m2->a5.h0<k>,m2->a10.h6<q>,a1.h7->a2.h3<v>,a13.h12->m23,a18.h9->a23.h0<v>,a10.h5->m12,m1->a2.h9<q>
a6.h3->m11,a6.h3->a11.h0<v>,m1->a4.h1<k>,a1.h7->a2.h4<q>,m1->a6.h0<k>,m0->a4.h1<q>,a4.h5->m6,a2.h0->m15
a5.h12->m6,a1.h13->a2.h1<q>,m7->a13.h1<v>,a1.h7->a2.h4<k>,a5.h7->m13,m10->a20.h0<k>,m4->a17.h0<v>,a14.h1->a23.h0<v>
a3.h1->m17,a6.h13->m17,a6.h3->a7.h13<q>,a1.h7->a2.h4<v>,a10.h7->m18,m9->a12.h5<q>,m0->a3.h10<q>,m5->a15.h0<k>
a8.h8->m15,a18.h9->m19,a2.h0->m19,a1.h7->a2.h5<q>,m1->a13.h1<k>,a5.h11->m5,a11.h6->m12,a7.h11->m16
a7.h11->m8,a2.h11->m8,a8.h8->m20,a1.h7->a2.h5<k>,a0.h3->m23,a1.h8->a5.h9<q>,a10.h8->a13.h1<v>,m3->a9.h5<q>
a2.h2->m6,m10->a17.h1<v>,a4.h5->m8,a1.h7->a2.h5<v>,a13.h6->m14,input->a1.h1<q>,m11->a12.h0<k>,m2->a7.h1<v>
a7.h2->m8,a4.h9->m6,a2.h9->m20,a1.h7->a2.h6<q>,a9.h5->m9,m0->a22.h1<v>,m12->a21.h12<q>,a23.h7->logits
a10.h3->m12,a3.h2->m9,a1.h11->a2.h1<k>,a1.h7->a2.h6<k>,a5.h10->m13,a1.h8->a10.h5<q>,a4.h10->m6,m6->a13.h1<v>
a8.h11->m16,a4.h1->a5.h1<v>,m7->a8.h12<q>,a1.h7->a2.h6<v>,a5.h10->m9,a1.h9->a2.h8<q>,a2.h5->m12,m17->a21.h12<q>
m4->a8.h13<q>,a4.h0->m9,a8.h7->m18,a1.h7->a2.h7<q>,a19.h7->m23,a1.h1->a3.h0<v>,a1.h8->m10,m0->a5.h0<v>
a17.h13->logits,a10.h5->m19,a5.h13->a10.h1<v>,a1.h7->a2.h7<k>,a19.h12->m22,a9.h2->a10.h0<v>,a6.h7->m13,m0->a3.h4<q>
a1.h9->m8,a17.h10->m23,m6->a10.h6<q>,a1.h7->a2.h7<v>,a20.h11->m23,m0->a4.h5<q>,a10.h12->a13.h1<v>,a5.h7->m23
m1->a8.h4<q>,a7.h4->a8.h0<v>,a2.h8->m2,a1.h7->a2.h8<q>,m3->a15.h4<q>,a20.h11->m23,a7.h10->m22,m14->a15.h2<q>
m4->a16.h10<q>,m11->a12.h1<v>,a1.h2->m8,a1.h7->a2.h8<k>,a11.h1->m14,m3->a15.h4<q>,m3->a10.h2<q>,a16.h8->m16
a8.h8->m13,a4.h8->a8.h1<v>,m8->a9.h2<q>,a1.h7->a2.h8<v>,a6.h7->a10.h1<v>,a1.h6->m3,a4.h10->m4,a2.h7->m8
m3->a17.h0<v>,a8.h6->a10.h0<k>,m3->a8.h1<k>,a1.h7->a2.h9<q>,a3.h10->a10.h1<v>,input->a0.h7<q>,a2.h12->m3,a9.h5->a10.h0<v>
a6.h9->m16,a10.h7->a11.h0<k>,a6.h7->m11,a1.h7->a2.h9<k>,a3.h5->m4,a21.h5->m23,a2.h0->m4,m8->a10.h0<v>
a7.h10->logits,a1.h6->m6,m5->a11.h2<q>,a1.h7->a2.h9<v>,a3.h2->m5,m19->a21.h1<v>,m5->a7.h10<q>,a4.h5->m4
a7.h13->m18,a6.h2->m18,a11.h1->a14.h10<q>,a1.h7->a2.h10<q>,a7.h2->m7,input->m15,a7.h11->a10.h1<v>,a3.h3->m4
a9.h9->m16,a4.h13->m12,a6.h4->m19,a1.h7->a2.h10<k>,a2.h8->logits,a3.h0->m10,m4->a14.h0<k>,m0->a10.h11<q>
a1.h1->m13,a5.h13->a10.h0<v>,m16->a17.h4<q>,a1.h7->a2.h10<v>,m15->a17.h13<q>,input->a1.h1<v>,m6->a7.h1<v>,m14->a19.h1<v>
a20.h2->logits,a2.h1->m16,m0->a2.h6<q>,a1.h7->a2.h11<q>,a10.h4->m14,a5.h10->m13,a1.h3->a6.h0<v>,a2.h7->m23
a14.h0->m19,a11.h5->m14,a1.h8->m8,a1.h7->a2.h11<k>,a5.h12->m7,a12.h9->m23,a7.h2->m9,a18.h13->logits
a10.h12->m18,a1.h7->a6.h0<k>,a7.h5->a12.h0<v>,a1.h7->a2.h11<v>,a11.h2->m12,m5->a7.h1<q>,m11->a13.h1<k>,m17->a19.h6<q>
m7->a19.h12<q>,m0->m12,a14.h1->m15,a1.h7->a2.h12<q>,m0->a20.h0<v>,m4->a6.h7<q>,a14.h0->m17,a16.h10->m22
a1.h8->m8,a7.h3->m19,m5->a8.h5<q>,a1.h7->a2.h12<k>,a23.h6->logits,a16.h10->m19,m11->a16.h10<q>,m3->a14.h0<q>
m3->a16.h1<v>,a7.h3->m10,a15.h2->logits,a1.h7->a2.h12<v>,a12.h5->m15,a5.h5->m15,a13.h12->m20,a2.h6->m6
m4->a6.h1<v>,a9.h9->a10.h1<v>,a7.h4->m16,a1.h7->a2.h13<q>,a6.h2->m20,m14->a16.h5<q>,a4.h6->m8,m2->a3.h1<k>
a15.h8->m15,a6.h0->m14,a8.h7->a9.h1<q>,a1.h7->a2.h13<k>,m6->a7.h13<q>,a23.h2->m23,a21.h3->m23,a4.h5->m8
a1.h9->m5,a4.h11->m9,m6->a7.h0<k>,a1.h7->a2.h13<v>,m3->a7.h2<q>,a8.h9->a10.h1<v>,a7.h13->a16.h1<v>,m2->a9.h1<q>
m22->a23.h1<k>,a8.h8->a16.h1<k>,a12.h5->m14,a1.h8->a2.h0<q>,a8.h7->m19,a1.h6->logits,m4->a7.h0<v>,a10.h5->m11
a10.h0->m17,m11->a13.h6<q>,a7.h5->m8,a1.h8->a2.h0<k>,a5.h9->m7,a12.h5->m18,a10.h6->m14,a10.h5->m18
a15.h4->m18,a8.h7->m13,a2.h0->m12,a1.h8->a2.h0<v>,a7.h4->m10,a13.h12->m15,a7.h10->m12,a20.h4->a23.h0<v>
a1.h3->a2.h1<q>,m2->a6.h2<q>,m12->a17.h1<q>,a1.h8->a2.h1<q>,a11.h2->m17,a7.h4->m12,a9.h2->m22,a5.h4->logits
a1.h7->m18,a8.h12->m20,a2.h4->m10,a1.h8->a2.h1<k>,m0->a4.h0<k>,m14->a22.h1<v>,a10.h8->m10,a7.h0->a13.h1<v>
a13.h12->a16.h7<q>,a6.h8->m15,m9->a15.h0<v>,a1.h8->a2.h1<v>,a13.h7->m15,a19.h11->m22,a20.h3->a21.h7<q>,m12->a13.h0<v>
m8->a12.h7<q>,a13.h12->m19,m16->a18.h7<q>,a1.h8->a2.h2<q>,a6.h3->a11.h0<q>,m8->a13.h0<v>,a7.h11->a10.h0<v>,m10->m23
a5.h13->m9,a7.h3->m15,m4->a16.h1<k>,a1.h8->a2.h2<k>,a16.h11->m19,m0->a5.h0<k>,a10.h7->a23.h0<v>,m4->a17.h0<v>
a8.h13->m15,m5->a13.h0<k>,m6->a9.h5<q>,a1.h8->a2.h2<v>,a1.h3->m12,a6.h0->a23.h0<v>,m0->a22.h1<k>,m4->a21.h1<k>
a14.h6->m17,a1.h1->m1,a9.h1->m23,a1.h8->a2.h3<q>,m0->a2.h0<q>,a4.h0->m5,m7->a11.h13<q>,a1.h6->logits
m0->a5.h0<q>,a2.h10->m6,a6.h12->m10,a1.h8->a2.h3<k>,a7.h13->m14,m15->a20.h1<q>,a7.h13->m14,m10->a20.h1<q>
m0->a7.h1<q>,a5.h8->a6.h9<q>,a8.h9->m8,a1.h8->a2.h3<v>,a8.h5->m15,a19.h13->m22,m5->a7.h0<v>,a3.h5->m3
a6.h7->m6,a4.h1->a5.h5<q>,a5.h3->m6,a1.h8->a2.h4<q>,a2.h9->m5,a5.h13->m16,m4->a21.h1<k>,a14.h6->logits
a16.h7->m19,a6.h4->m8,a1.h5->m12,a1.h8->a2.h4<k>,a10.h12->a13.h1<v>,m0->a4.h4<q>,a16.h8->a23.h0<v>,a13.h12->m14
m1->a3.h1<q>,a11.h1->m20,m12->a20.h0<v>,a1.h8->a2.h4<v>,a7.h0->a13.h1<v>,a3.h10->a5.h13<q>,a1.h6->logits,a22.h12->m23
a8.h9->logits,a4.h0->m12,a21.h10->logits,a1.h8->a2.h5<q>,m0->a22.h1<k>,a17.h9->m19,a8.h9->a13.h1<v>,a13.h6->m23
a1.h0->a6.h0<v>,a5.h13->m10,m7->a14.h7<q>,a1.h8->a2.h5<k>,a5.h5->logits,a4.h6->m16,m4->a12.h5<q>,m7->a8.h11<q>
a6.h1->a10.h0<k>,m2->a3.h0<k>,m0->a11.h2<q>,a1.h8->a2.h5<v>,a1.h9->a2.h11<q>,a6.h13->m18,m2->a4.h0<k>,m0->a11.h6<q>
a17.h7->m17,m9->a15.h0<v>,a6.h13->a10.h1<v>,a1.h8->a2.h6<q>,a1.h2->m4,a7.h5->m12,m10->a11.h10<q>,m2->a16.h1<k>
m5->a7.h1<q>,a2.h8->a7.h0<v>,a1.h11->m14,a1.h8->a2.h6<k>,a1.h2->a5.h1<k>,a6.h7->a10.h1<v>,a1.h11->a2.h0<v>,a10.h8->m23
m5->a10.h1<q>,a9.h6->m15,a4.h0->m6,a1.h8->a2.h6<v>,a17.h1->m17,a23.h13->m23,m1->a7.h5<q>,a8.h10->a10.h6<q>
m8->a14.h6<q>,a6.h3->a7.h1<v>,m15->a20.h0<v>,a1.h8->a2.h7<q>,m1->a3.h1<v>,a4.h3->a10.h0<q>,a7.h6->m12,a7.h2->m23
a2.h3->m17,a10.h5->m14,a1.h11->m12,a1.h8->a2.h7<k>,m10->a20.h0<k>,m5->a15.h0<k>,a10.h7->a12.h0<v>,a1.h1->m2
a6.h4->m11,m4->m11,m15->a19.h0<k>,a1.h8->a2.h7<v>,a2.h0->m15,a1.h11->m15,a4.h5->m5,a7.h5->m12
a4.h8->m14,a4.h13->a8.h1<v>,m0->a7.h6<q>,a1.h8->a2.h8<q>,m19->a21.h1<v>,a16.h13->logits,a8.h10->a10.h6<q>,a4.h10->m6
a1.h0->m4,a4.h11->m10,m0->a2.h3<q>,a1.h8->a2.h8<k>,a7.h1->logits,m5->a8.h11<q>,m7->a17.h1<v>,a4.h6->m16
a1.h7->a2.h0<k>,input->a0.h1<q>,a6.h3->a10.h3<q>,a1.h8->a2.h8<v>,a4.h7->m12,a9.h5->m20,a4.h3->a5.h1<v>,a20.h3->a21.h7<q>
m14->a19.h4<q>,a15.h8->m16,a1.h8->m12,a1.h8->a2.h9<q>,a4.h7->m4,a5.h5->m23,m4->m22,a5.h8->m12
a12.h4->logits,a12.h0->m21,a6.h3->a12.h0<v>,a1.h8->a2.h9<k>,a8.h6->a23.h0<v>,m9->a12.h0<v>,a3.h1->m11,a7.h13->a16.h1<v>
a4.h13->a8.h0<v>,a12.h5->m15,a8.h8->m15,a1.h8->a2.h9<v>,m7->a14.h6<q>,m13->a14.h6<q>,a4.h7->m6,m4->a6.h0<k>
a8.h2->a10.h1<v>,a5.h13->m13,m7->a19.h13<q>,a1.h8->a2.h10<q>,m14->a15.h2<q>,a5.h0->m6,a16.h7->m16,m3->a4.h0<q>
a3.h9->m7,m0->a3.h0<k>,a6.h3->m20,a1.h8->a2.h10<k>,m16->a20.h1<k>,m1->a4.h4<q>,a19.h8->m20,m9->a14.h0<k>
m17->a18.h1<v>,a7.h4->m19,a4.h5->a6.h0<v>,a1.h8->a2.h10<v>,input->a1.h1<q>,m0->a22.h1<k>,a7.h0->a13.h1<v>,m15->a22.h9<q>
a4.h13->m7,m12->a13.h10<q>,a2.h4->m16,a1.h8->a2.h11<q>,a6.h7->a7.h0<v>,a1.h1->a2.h11<q>,a1.h10->m5,m7->a13.h0<k>
a8.h2->m18,m4->a6.h0<q>,m1->a17.h1<k>,a1.h8->a2.h11<k>,m1->a2.h5<q>,m3->a23.h0<v>,a10.h5->m23,a10.h12->m19
m15->a17.h1<k>,a14.h1->m14,m2->a13.h0<k>,a1.h8->a2.h11<v>,a15.h6->m22,a6.h1->logits,m6->a11.h3<q>,a16.h8->a23.h0<v>
m8->a10.h11<q>,a5.h13->a6.h0<v>,a1.h6->m1,a1.h8->a2.h12<q>,m0->a1.h13<q>,m12->a21.h12<q>,a17.h9->m19,a7.h10->m12
a1.h11->a2.h1<v>,m8->a9.h1<q>,a8.h4->m12,a1.h8->a2.h12<k>,m3->a5.h9<q>,a10.h0->m12,a16.h11->a20.h3<q>,m9->a10.h5<q>
a7.h12->m10,a19.h8->m19,m0->a15.h0<k>,a1.h8->a2.h12<v>,m4->a6.h0<k>,a20.h2->logits,a10.h13->m12,m3->a9.h2<q>
a2.h9->a6.h0<v>,a8.h8->a12.h1<k>,a8.h4->m9,a1.h8->a2.h13<q>,m5->a15.h0<k>,m13->a19.h8<q>,a21.h7->m22,m18->a19.h13<q>
a8.h5->m9,m10->a12.h8<q>,a13.h11->m13,a1.h8->a2.h13<k>,a7.h5->m12,m19->a22.h1<v>,a1.h9->a2.h8<q>,m9->a10.h1<k>
input->a1.h1<v>,a6.h3->a7.h4<q>,a16.h7->m22,a1.h8->a2.h13<v>,a1.h5->a8.h0<v>,a10.h12->m18,m7->a13.h0<v>,a7.h11->a10.h1<v>
m10->a17.h7<q>,a5.h5->a6.h0<v>,a11.h0->m11,a1.h9->a2.h0<q>,a12.h0->a13.h1<v>,m13->a20.h0<q>,m0->a10.h11<q>,a4.h7->m7
m15->a17.h7<q>,a6.h3->a8.h8<q>,a9.h9->m9,a1.h9->a2.h0<k>,a7.h2->logits,a1.h3->m12,a16.h10->m16,a1.h5->a2.h1<q>
a6.h7->m18,m6->a7.h7<q>,a2.h6->m4,a1.h9->a2.h0<v>,m3->a4.h13<q>,a6.h2->a7.h1<v>,a2.h9->a10.h1<v>,a8.h4->m15
a23.h13->m23,a22.h12->logits,a10.h12->m12,a1.h9->a2.h1<q>,a14.h0->m23,a7.h2->m23,a7.h5->m13,m1->a12.h5<q>
m19->a23.h10<q>,a7.h5->m17,a14.h6->m18,a1.h9->a2.h1<k>,a0.h9->m0,a4.h3->m14,m2->a16.h1<k>,a8.h9->m15
a6.h1->m16,a4.h12->a10.h3<q>,a7.h0->m18,a1.h9->a2.h1<v>,m6->a10.h11<q>,m8->a20.h0<v>,a1.h6->m4,a4.h5->m6
a15.h4->m21,m11->a16.h1<k>,m8->a9.h5<q>,a1.h9->a2.h2<q>,a14.h6->logits,m15->a16.h5<q>,a20.h6->m21,m0->a6.h4<q>
a2.h1->m14,a17.h5->m21,m6->m22,a1.h9->a2.h2<k>,m9->a20.h0<k>,m10->m15,m14->a15.h2<q>,a5.h13->m23
a6.h13->a10.h0<v>,a16.h7->m23,m5->a14.h6<q>,a1.h9->a2.h2<v>,a1.h2->m3,m14->a20.h0<v>,a2.h7->m4,a8.h6->a10.h8<q>
a10.h0->a16.h7<q>,m7->a10.h11<q>,m19->a20.h0<k>,a1.h9->a2.h3<q>,a3.h1->m8,a8.h6->a9.h1<q>,a5.h5->m22,a13.h7->m15
input->a2.h0<k>,a6.h7->m7,m14->m17,a1.h9->a2.h3<k>,m5->a8.h11<q>,a12.h7->m19,m10->m23,m4->a10.h3<q>
a7.h1->m16,a8.h7->m10,a1.h10->a6.h0<v>,a1.h9->a2.h3<v>,m1->a7.h10<q>,a4.h5->m7,m3->a13.h0<v>,a6.h8->m16
a9.h2->m11,a8.h8->a14.h0<k>,a6.h2->a10.h1<v>,a1.h9->a2.h4<q>,m11->a16.h10<q>,m0->a7.h0<k>,a10.h7->m21,a7.h13->m15
m0->a9.h1<k>,a8.h10->m17,a1.h9->m16,a1.h9->a2.h4<k>,a5.h13->a10.h0<v>,m17->a22.h1<v>,a5.h4->m9,a8.h2->m10
a13.h0->m14,a6.h0->m15,m7->a8.h2<q>,a1.h9->a2.h4<v>,a3.h11->m3,a13.h1->m23,m10->a16.h1<v>,m11->a16.h10<q>
m6->a17.h0<v>,a5.h8->a10.h1<v>,m9->a10.h4<q>,a1.h9->a2.h5<q>,m12->a21.h12<q>,a8.h4->m9,a8.h11->m13,a4.h8->a6.h0<v>
a1.h8->a3.h0<q>,a12.h11->m19,a6.h3->m21,a1.h9->a2.h5<k>,a12.h5->m18,m5->a10.h0<v>,m1->a21.h7<q>,a1.h3->a6.h0<v>
m0->a5.h0<k>,m7->a9.h1<v>,a6.h0->m7,a1.h9->a2.h5<v>,a5.h8->m15,a8.h5->m9,a1.h4->m4,m19->a21.h1<v>
a2.h0->m13,a17.h7->m17,a7.h13->m7,a1.h9->a2.h6<q>,m14->a22.h1<v>,a2.h5->m3,a2.h7->m8,a3.h1->m9
a4.h4->m7,a6.h2->logits,a5.h5->a6.h0<v>,a1.h9->a2.h6<k>,a8.h7->m9,a22.h13->m22,a1.h3->a2.h1<q>,a4.h3->a7.h1<v>
a7.h4->a10.h1<v>,a5.h13->a8.h1<v>,a14.h0->m14,a1.h9->a2.h6<v>,m3->a12.h7<q>,a10.h13->m12,a0.h3->m23,a13.h12->m20
a2.h0->m19,a4.h7->a7.h0<k>,m14->a16.h11<q>,a1.h9->a2.h7<q>,a2.h4->m7,m14->a15.h2<q>,m2->a12.h11<q>,a10.h1->m11
a2.h3->m10,a6.h7->m15,a2.h0->a8.h0<v>,a1.h9->a2.h7<k>,a1.h2->m10,a4.h1->m5,a22.h8->logits,input->a0.h5<q>
m11->a17.h7<q>,a10.h5->m16,m9->a11.h13<q>,a1.h9->a2.h7<v>,a1.h10->m6,a8.h7->m19,a2.h5->m4,m7->a12.h0<k>
m17->a23.h1<v>,m8->a17.h0<v>,a9.h9->m14,a1.h9->a2.h8<q>,a17.h13->m17,a1.h9->m12,a5.h4->logits,m8->a12.h0<k>
a2.h8->m12,a13.h1->m14,a1.h2->a2.h1<k>,a1.h9->a2.h8<k>,a4.h5->m4,a1.h10->m3,a2.h5->m9,a12.h5->m18
a12.h5->m14,m6->a15.h1<v>,a5.h7->m10,a1.h9->a2.h8<v>,a1.h6->m23,m6->a8.h1<v>,a5.h7->m23,a12.h7->m19
m2->a8.h1<v>,a7.h9->a8.h1<v>,a1.h11->a2.h1<v>,a1.h9->a2.h9<q>,m6->a23.h0<v>,a1.h5->m6,a1.h10->a2.h1<k>,a2.h0->m16
a10.h1->m16,m5->a9.h1<k>,a5.h13->m14,a1.h9->a2.h9<k>,m11->a12.h5<q>,m11->a17.h1<v>,a6.h8->m6,m1->a2.h12<q>
a10.h9->m15,a17.h7->m22,a2.h6->a6.h1<q>,a1.h9->a2.h9<v>,a7.h6->a10.h0<k>,m10->a20.h1<q>,m2->a19.h1<v>,a1.h2->a2.h7<q>
a2.h3->m11,a10.h6->a13.h1<v>,m4->a10.h0<k>,a1.h9->a2.h10<q>,a16.h11->a20.h3<q>,m2->a7.h6<q>,a5.h8->m17,a11.h6->m13
a5.h8->a8.h8<q>,a11.h0->m13,a7.h3->m13,a1.h9->a2.h10<k>,a7.h7->m23,m2->a19.h1<v>,a2.h7->m6,a7.h10->a12.h0<v>
a1.h5->a2.h0<k>,a10.h13->m13,a6.h13->logits,a1.h9->a2.h10<v>,a12.h9->m23,a15.h7->logits,m3->a7.h13<q>,m10->a11.h2<q>
a6.h7->m9,m4->a5.h3<q>,a10.h11->m12,a1.h9->a2.h11<q>,a2.h5->a3.h0<k>,a1.h10->a2.h7<q>,m0->a6.h4<q>,a8.h6->a23.h0<v>
m10->a19.h12<q>,m5->a13.h3<q>,input->m5,a1.h9->a2.h11<k>,a13.h3->m14,a20.h12->m23,m2->a4.h0<q>,a5.h12->a6.h0<v>
a5.h7->m8,m7->a8.h7<q>,a4.h3->a5.h1<v>,a1.h9->a2.h11<v>,a22.h0->logits,m11->a15.h6<q>,m0->a10.h0<k>,m0->a3.h10<q>
a8.h6->logits,a17.h5->logits,a9.h1->a10.h0<v>,a1.h9->a2.h12<q>,a2.h5->a6.h0<v>,a7.h1->logits,m15->a22.h9<q>,a8.h10->m15
m1->m15,a2.h12->a4.h1<v>,a1.h5->m13,a1.h9->a2.h12<k>,m7->a12.h0<k>,a1.h5->a3.h0<k>,a12.h1->m16,a16.h8->m22
a17.h13->m18,a6.h1->m21,a10.h7->a12.h0<v>,a1.h9->a2.h12<v>,a8.h6->a9.h0<v>,a1.h12->m10,a4.h4->a6.h0<v>,m1->a10.h6<q>
